Run 1/240: Rep=1, CellRange=1.00_Count 
Run 2/240: Rep=1, CellRange=.90_Count 
Run 3/240: Rep=1, CellRange=.75_Count 
Run 4/240: Rep=1, CellRange=.50_Count 
Run 5/240: Rep=1, CellRange=.25_Count 
Run 6/240: Rep=1, CellRange=.10_Count 
Run 7/240: Rep=1, CellRange=.050_Count 
Run 8/240: Rep=1, CellRange=.025_Count 
Run 9/240: Rep=2, CellRange=1.00_Count 
Run 10/240: Rep=2, CellRange=.90_Count 
Run 11/240: Rep=2, CellRange=.75_Count 
Run 12/240: Rep=2, CellRange=.50_Count 
Run 13/240: Rep=2, CellRange=.25_Count 
Run 14/240: Rep=2, CellRange=.10_Count 
Run 15/240: Rep=2, CellRange=.050_Count 
Run 16/240: Rep=2, CellRange=.025_Count 
Run 18/240: Rep=3, CellRange=.90_Count 
Run 17/240: Rep=3, CellRange=1.00_Count 
Run 19/240: Rep=3, CellRange=.75_Count 
Run 20/240: Rep=3, CellRange=.50_Count 
Run 21/240: Rep=3, CellRange=.25_Count 
Run 22/240: Rep=3, CellRange=.10_Count 
Run 23/240: Rep=3, CellRange=.050_Count 
Run 24/240: Rep=3, CellRange=.025_Count 
Run 25/240: Rep=4, CellRange=1.00_Count 
Run 26/240: Rep=4, CellRange=.90_Count 
Run 27/240: Rep=4, CellRange=.75_Count 
Run 28/240: Rep=4, CellRange=.50_Count 
Run 29/240: Rep=4, CellRange=.25_Count 
Run 30/240: Rep=4, CellRange=.10_Count 
Run 31/240: Rep=4, CellRange=.050_Count 
Run 32/240: Rep=4, CellRange=.025_Count 
Run 33/240: Rep=5, CellRange=1.00_Count 
Run 34/240: Rep=5, CellRange=.90_Count 
Run 35/240: Rep=5, CellRange=.75_Count 
Run 36/240: Rep=5, CellRange=.50_Count 
Run 37/240: Rep=5, CellRange=.25_Count 
Run 38/240: Rep=5, CellRange=.10_Count 
Run 39/240: Rep=5, CellRange=.050_Count 
Run 40/240: Rep=5, CellRange=.025_Count 
Run 41/240: Rep=6, CellRange=1.00_Count 
Run 42/240: Rep=6, CellRange=.90_Count 
Run 43/240: Rep=6, CellRange=.75_Count 
Run 44/240: Rep=6, CellRange=.50_Count 
Run 45/240: Rep=6, CellRange=.25_Count 
Run 46/240: Rep=6, CellRange=.10_Count 
Run 47/240: Rep=6, CellRange=.050_Count 
Run 48/240: Rep=6, CellRange=.025_Count 
Run 49/240: Rep=7, CellRange=1.00_Count 
Run 50/240: Rep=7, CellRange=.90_Count 
Run 51/240: Rep=7, CellRange=.75_Count 
Run 52/240: Rep=7, CellRange=.50_Count 
Run 53/240: Rep=7, CellRange=.25_Count 
Run 54/240: Rep=7, CellRange=.10_Count 
Run 55/240: Rep=7, CellRange=.050_Count 
Run 56/240: Rep=7, CellRange=.025_Count 
Run 57/240: Rep=8, CellRange=1.00_Count 
Run 58/240: Rep=8, CellRange=.90_Count 
Run 59/240: Rep=8, CellRange=.75_Count 
Run 60/240: Rep=8, CellRange=.50_Count 
Run 61/240: Rep=8, CellRange=.25_Count 
Run 62/240: Rep=8, CellRange=.10_Count 
Run 63/240: Rep=8, CellRange=.050_Count 
Run 64/240: Rep=8, CellRange=.025_Count 
Run 65/240: Rep=9, CellRange=1.00_Count 
Run 66/240: Rep=9, CellRange=.90_Count 
Run 67/240: Rep=9, CellRange=.75_Count 
Run 68/240: Rep=9, CellRange=.50_Count 
Run 69/240: Rep=9, CellRange=.25_Count 
Run 70/240: Rep=9, CellRange=.10_Count 
Run 71/240: Rep=9, CellRange=.050_Count 
Run 72/240: Rep=9, CellRange=.025_Count 
Run 73/240: Rep=10, CellRange=1.00_Count 
Run 74/240: Rep=10, CellRange=.90_Count 
Run 75/240: Rep=10, CellRange=.75_Count 
Run 76/240: Rep=10, CellRange=.50_Count 
Run 77/240: Rep=10, CellRange=.25_Count 
Run 78/240: Rep=10, CellRange=.10_Count 
Run 79/240: Rep=10, CellRange=.050_Count 
Run 80/240: Rep=10, CellRange=.025_Count 
Run 81/240: Rep=11, CellRange=1.00_Count 
Run 82/240: Rep=11, CellRange=.90_Count 
Run 83/240: Rep=11, CellRange=.75_Count 
Run 84/240: Rep=11, CellRange=.50_Count 
Run 85/240: Rep=11, CellRange=.25_Count 
Run 86/240: Rep=11, CellRange=.10_Count 
Run 87/240: Rep=11, CellRange=.050_Count 
Run 88/240: Rep=11, CellRange=.025_Count 
Run 89/240: Rep=12, CellRange=1.00_Count 
Run 90/240: Rep=12, CellRange=.90_Count 
Run 91/240: Rep=12, CellRange=.75_Count 
Run 92/240: Rep=12, CellRange=.50_Count 
Run 93/240: Rep=12, CellRange=.25_Count 
Run 94/240: Rep=12, CellRange=.10_Count 
Run 95/240: Rep=12, CellRange=.050_Count 
Run 96/240: Rep=12, CellRange=.025_Count 
Run 97/240: Rep=13, CellRange=1.00_Count 
Run 98/240: Rep=13, CellRange=.90_Count 
Run 99/240: Rep=13, CellRange=.75_Count 
Run 100/240: Rep=13, CellRange=.50_Count 
Run 101/240: Rep=13, CellRange=.25_Count 
Run 102/240: Rep=13, CellRange=.10_Count 
Run 103/240: Rep=13, CellRange=.050_Count 
Run 104/240: Rep=13, CellRange=.025_Count 
Run 105/240: Rep=14, CellRange=1.00_Count 
Run 106/240: Rep=14, CellRange=.90_Count 
Run 107/240: Rep=14, CellRange=.75_Count 
Run 108/240: Rep=14, CellRange=.50_Count 
Run 109/240: Rep=14, CellRange=.25_Count 
Run 110/240: Rep=14, CellRange=.10_Count 
Run 111/240: Rep=14, CellRange=.050_Count 
Run 112/240: Rep=14, CellRange=.025_Count 
Run 113/240: Rep=15, CellRange=1.00_Count 
Run 114/240: Rep=15, CellRange=.90_Count 
Run 115/240: Rep=15, CellRange=.75_Count 
Run 116/240: Rep=15, CellRange=.50_Count 
Run 117/240: Rep=15, CellRange=.25_Count 
Run 118/240: Rep=15, CellRange=.10_Count 
Run 119/240: Rep=15, CellRange=.050_Count 
Run 120/240: Rep=15, CellRange=.025_Count 
Run 121/240: Rep=16, CellRange=1.00_Count 
Run 122/240: Rep=16, CellRange=.90_Count 
Run 123/240: Rep=16, CellRange=.75_Count 
Run 124/240: Rep=16, CellRange=.50_Count 
Run 125/240: Rep=16, CellRange=.25_Count 
Run 126/240: Rep=16, CellRange=.10_Count 
Run 127/240: Rep=16, CellRange=.050_Count 
Run 128/240: Rep=16, CellRange=.025_Count 
Run 129/240: Rep=17, CellRange=1.00_Count 
Run 130/240: Rep=17, CellRange=.90_Count 
Run 131/240: Rep=17, CellRange=.75_Count 
Run 132/240: Rep=17, CellRange=.50_Count 
Run 133/240: Rep=17, CellRange=.25_Count 
Run 134/240: Rep=17, CellRange=.10_Count 
Run 135/240: Rep=17, CellRange=.050_Count 
Run 136/240: Rep=17, CellRange=.025_Count 
Run 137/240: Rep=18, CellRange=1.00_Count 
Run 138/240: Rep=18, CellRange=.90_Count 
Run 139/240: Rep=18, CellRange=.75_Count 
Run 140/240: Rep=18, CellRange=.50_Count 
Run 141/240: Rep=18, CellRange=.25_Count 
Run 142/240: Rep=18, CellRange=.10_Count 
Run 143/240: Rep=18, CellRange=.050_Count 
Run 144/240: Rep=18, CellRange=.025_Count 
Run 145/240: Rep=19, CellRange=1.00_Count 
Run 146/240: Rep=19, CellRange=.90_Count 
Run 147/240: Rep=19, CellRange=.75_Count 
Run 148/240: Rep=19, CellRange=.50_Count 
Run 149/240: Rep=19, CellRange=.25_Count 
Run 150/240: Rep=19, CellRange=.10_Count 
Run 151/240: Rep=19, CellRange=.050_Count 
Run 152/240: Rep=19, CellRange=.025_Count 
Run 153/240: Rep=20, CellRange=1.00_Count 
Run 154/240: Rep=20, CellRange=.90_Count 
Run 155/240: Rep=20, CellRange=.75_Count 
Run 156/240: Rep=20, CellRange=.50_Count 
Run 157/240: Rep=20, CellRange=.25_Count 
Run 158/240: Rep=20, CellRange=.10_Count 
Run 159/240: Rep=20, CellRange=.050_Count 
Run 160/240: Rep=20, CellRange=.025_Count 
Run 161/240: Rep=21, CellRange=1.00_Count 
Run 162/240: Rep=21, CellRange=.90_Count 
Run 163/240: Rep=21, CellRange=.75_Count 
Run 164/240: Rep=21, CellRange=.50_Count 
Run 165/240: Rep=21, CellRange=.25_Count 
Run 166/240: Rep=21, CellRange=.10_Count 
Run 167/240: Rep=21, CellRange=.050_Count 
Run 168/240: Rep=21, CellRange=.025_Count 
Run 169/240: Rep=22, CellRange=1.00_Count 
Run 170/240: Rep=22, CellRange=.90_Count 
Run 171/240: Rep=22, CellRange=.75_Count 
Run 172/240: Rep=22, CellRange=.50_Count 
Run 173/240: Rep=22, CellRange=.25_Count 
Run 174/240: Rep=22, CellRange=.10_Count 
Run 175/240: Rep=22, CellRange=.050_Count 
Run 176/240: Rep=22, CellRange=.025_Count 
Run 177/240: Rep=23, CellRange=1.00_Count 
Run 178/240: Rep=23, CellRange=.90_Count 
Run 179/240: Rep=23, CellRange=.75_Count 
Run 180/240: Rep=23, CellRange=.50_Count 
Run 181/240: Rep=23, CellRange=.25_Count 
Run 182/240: Rep=23, CellRange=.10_Count 
Run 183/240: Rep=23, CellRange=.050_Count 
Run 184/240: Rep=23, CellRange=.025_Count 
Run 185/240: Rep=24, CellRange=1.00_Count 
Run 186/240: Rep=24, CellRange=.90_Count 
Run 187/240: Rep=24, CellRange=.75_Count 
Run 188/240: Rep=24, CellRange=.50_Count 
Run 189/240: Rep=24, CellRange=.25_Count 
Run 190/240: Rep=24, CellRange=.10_Count 
Run 191/240: Rep=24, CellRange=.050_Count 
Run 192/240: Rep=24, CellRange=.025_Count 
Run 193/240: Rep=25, CellRange=1.00_Count 
Run 194/240: Rep=25, CellRange=.90_Count 
Run 195/240: Rep=25, CellRange=.75_Count 
Run 196/240: Rep=25, CellRange=.50_Count 
Run 197/240: Rep=25, CellRange=.25_Count 
Run 198/240: Rep=25, CellRange=.10_Count 
Run 199/240: Rep=25, CellRange=.050_Count 
Run 200/240: Rep=25, CellRange=.025_Count 
Run 201/240: Rep=26, CellRange=1.00_Count 
Run 202/240: Rep=26, CellRange=.90_Count 
Run 203/240: Rep=26, CellRange=.75_Count 
Run 204/240: Rep=26, CellRange=.50_Count 
Run 205/240: Rep=26, CellRange=.25_Count 
Run 206/240: Rep=26, CellRange=.10_Count 
Run 207/240: Rep=26, CellRange=.050_Count 
Run 208/240: Rep=26, CellRange=.025_Count 
Run 209/240: Rep=27, CellRange=1.00_Count 
Run 210/240: Rep=27, CellRange=.90_Count 
Run 211/240: Rep=27, CellRange=.75_Count 
Run 212/240: Rep=27, CellRange=.50_Count 
Run 213/240: Rep=27, CellRange=.25_Count 
Run 214/240: Rep=27, CellRange=.10_Count 
Run 215/240: Rep=27, CellRange=.050_Count 
Run 216/240: Rep=27, CellRange=.025_Count 
Run 217/240: Rep=28, CellRange=1.00_Count 
