Simulation 4 | MIMOSA2 elapsed = 6.22 sec | status = SUCCESS
Simulation 2 | MIMOSA2 elapsed = 6.25 sec | status = SUCCESS
Simulation 3 | MIMOSA2 elapsed = 6.84 sec | status = SUCCESS
Simulation 1 | MIMOSA2 elapsed = 7.39 sec | status = SUCCESS
Simulation 13 | MIMOSA2 elapsed = 7.41 sec | status = SUCCESS
Simulation 8 | MIMOSA2 elapsed = 8.15 sec | status = SUCCESS
Simulation 10 | MIMOSA2 elapsed = 8.16 sec | status = SUCCESS
Simulation 7 | MIMOSA2 elapsed = 8.71 sec | status = SUCCESS
Simulation 9 | MIMOSA2 elapsed = 10.5 sec | status = SUCCESS
Simulation 11 | MIMOSA2 elapsed = 11.02 sec | status = SUCCESS
Simulation 5 | MIMOSA2 elapsed = 14.93 sec | status = SUCCESS
Simulation 19 | MIMOSA2 elapsed = 15.58 sec | status = SUCCESS
Simulation 12 | MIMOSA2 elapsed = 15.66 sec | status = SUCCESS
Simulation 17 | MIMOSA2 elapsed = 15.73 sec | status = SUCCESS
Simulation 18 | MIMOSA2 elapsed = 15.94 sec | status = SUCCESS
Simulation 6 | MIMOSA2 elapsed = 16.05 sec | status = SUCCESS
Simulation 20 | MIMOSA2 elapsed = 16.16 sec | status = SUCCESS
Simulation 14 | MIMOSA2 elapsed = 16.26 sec | status = SUCCESS
Simulation 15 | MIMOSA2 elapsed = 16.47 sec | status = SUCCESS
Simulation 16 | MIMOSA2 elapsed = 16.38 sec | status = SUCCESS
Simulation 21 | MIMOSA2 elapsed = 10.43 sec | status = SUCCESS
Simulation 25 | MIMOSA2 elapsed = 11.27 sec | status = SUCCESS
Simulation 23 | MIMOSA2 elapsed = 12.28 sec | status = SUCCESS
Simulation 22 | MIMOSA2 elapsed = 17.01 sec | status = SUCCESS
Simulation 27 | MIMOSA2 elapsed = 15.28 sec | status = SUCCESS
Simulation 28 | MIMOSA2 elapsed = 15.78 sec | status = SUCCESS
Simulation 24 | MIMOSA2 elapsed = 17.42 sec | status = SUCCESS
Simulation 35 | MIMOSA2 elapsed = 9.66 sec | status = SUCCESS
Simulation 26 | MIMOSA2 elapsed = 17.6 sec | status = SUCCESS
Simulation 29 | MIMOSA2 elapsed = 15.43 sec | status = SUCCESS
Simulation 37 | MIMOSA2 elapsed = 10.64 sec | status = SUCCESS
Simulation 30 | MIMOSA2 elapsed = 16.29 sec | status = SUCCESS
Simulation 34 | MIMOSA2 elapsed = 15.21 sec | status = SUCCESS
Simulation 33 | MIMOSA2 elapsed = 15.69 sec | status = SUCCESS
Simulation 32 | MIMOSA2 elapsed = 15.81 sec | status = SUCCESS
Simulation 31 | MIMOSA2 elapsed = 16.67 sec | status = SUCCESS
Simulation 41 | MIMOSA2 elapsed = 15.38 sec | status = SUCCESS
Simulation 36 | MIMOSA2 elapsed = 16.36 sec | status = SUCCESS
Simulation 38 | MIMOSA2 elapsed = 16.29 sec | status = SUCCESS
Simulation 39 | MIMOSA2 elapsed = 16.33 sec | status = SUCCESS
Simulation 40 | MIMOSA2 elapsed = 16.58 sec | status = SUCCESS
Simulation 43 | MIMOSA2 elapsed = 16.58 sec | status = SUCCESS
Simulation 42 | MIMOSA2 elapsed = 17.53 sec | status = SUCCESS
Simulation 44 | MIMOSA2 elapsed = 13.56 sec | status = SUCCESS
Simulation 45 | MIMOSA2 elapsed = 14.31 sec | status = SUCCESS
Simulation 46 | MIMOSA2 elapsed = 16.67 sec | status = SUCCESS
Simulation 47 | MIMOSA2 elapsed = 17.05 sec | status = SUCCESS
Simulation 48 | MIMOSA2 elapsed = 16.65 sec | status = SUCCESS
Simulation 50 | MIMOSA2 elapsed = 17.4 sec | status = SUCCESS
Simulation 49 | MIMOSA2 elapsed = 17.86 sec | status = SUCCESS
Simulation 52 | MIMOSA2 elapsed = 16.98 sec | status = SUCCESS
Simulation 51 | MIMOSA2 elapsed = 17.37 sec | status = SUCCESS
Simulation 54 | MIMOSA2 elapsed = 16.41 sec | status = SUCCESS
Simulation 53 | MIMOSA2 elapsed = 17.35 sec | status = SUCCESS
Simulation 56 | MIMOSA2 elapsed = 17.17 sec | status = SUCCESS
Simulation 58 | MIMOSA2 elapsed = 17.04 sec | status = SUCCESS
Simulation 57 | MIMOSA2 elapsed = 17.8 sec | status = SUCCESS
Simulation 55 | MIMOSA2 elapsed = 18.84 sec | status = SUCCESS
Simulation 59 | MIMOSA2 elapsed = 17.53 sec | status = SUCCESS
Simulation 62 | MIMOSA2 elapsed = 14.64 sec | status = SUCCESS
Simulation 60 | MIMOSA2 elapsed = 18.09 sec | status = SUCCESS
Simulation 61 | MIMOSA2 elapsed = 18.07 sec | status = SUCCESS
Simulation 64 | MIMOSA2 elapsed = 15.31 sec | status = SUCCESS
Simulation 63 | MIMOSA2 elapsed = 18.07 sec | status = SUCCESS
Simulation 65 | MIMOSA2 elapsed = 16.94 sec | status = SUCCESS
Simulation 68 | MIMOSA2 elapsed = 16.25 sec | status = SUCCESS
Simulation 66 | MIMOSA2 elapsed = 17.6 sec | status = SUCCESS
Simulation 69 | MIMOSA2 elapsed = 17.01 sec | status = SUCCESS
Simulation 72 | MIMOSA2 elapsed = 16.14 sec | status = SUCCESS
Simulation 67 | MIMOSA2 elapsed = 18.55 sec | status = SUCCESS
Simulation 70 | MIMOSA2 elapsed = 17.41 sec | status = SUCCESS
Simulation 71 | MIMOSA2 elapsed = 17.17 sec | status = SUCCESS
Simulation 73 | MIMOSA2 elapsed = 16.81 sec | status = SUCCESS
Simulation 75 | MIMOSA2 elapsed = 16.69 sec | status = SUCCESS
Simulation 77 | MIMOSA2 elapsed = 15.98 sec | status = SUCCESS
Simulation 79 | MIMOSA2 elapsed = 16.49 sec | status = SUCCESS
Simulation 74 | MIMOSA2 elapsed = 19.66 sec | status = SUCCESS
Simulation 76 | MIMOSA2 elapsed = 18.85 sec | status = SUCCESS
Simulation 78 | MIMOSA2 elapsed = 20.04 sec | status = SUCCESS
Simulation 80 | MIMOSA2 elapsed = 19.84 sec | status = SUCCESS
Simulation 88 | MIMOSA2 elapsed = 6.89 sec | status = SUCCESS
Simulation 98 | MIMOSA2 elapsed = 7.18 sec | status = SUCCESS
Simulation 84 | MIMOSA2 elapsed = 8.09 sec | status = SUCCESS
Simulation 89 | MIMOSA2 elapsed = 8.2 sec | status = SUCCESS
Simulation 81 | MIMOSA2 elapsed = 8.34 sec | status = SUCCESS
Simulation 82 | MIMOSA2 elapsed = 8.48 sec | status = SUCCESS
Simulation 99 | MIMOSA2 elapsed = 8.74 sec | status = SUCCESS
Simulation 83 | MIMOSA2 elapsed = 9.45 sec | status = SUCCESS
Simulation 86 | MIMOSA2 elapsed = 10.17 sec | status = SUCCESS
Simulation 97 | MIMOSA2 elapsed = 10.69 sec | status = SUCCESS
Simulation 95 | MIMOSA2 elapsed = 10.71 sec | status = SUCCESS
Simulation 92 | MIMOSA2 elapsed = 10.78 sec | status = SUCCESS
Simulation 87 | MIMOSA2 elapsed = 11.55 sec | status = SUCCESS
Simulation 90 | MIMOSA2 elapsed = 11.51 sec | status = SUCCESS
Simulation 96 | MIMOSA2 elapsed = 15.2 sec | status = SUCCESS
Simulation 93 | MIMOSA2 elapsed = 15.8 sec | status = SUCCESS
Simulation 94 | MIMOSA2 elapsed = 16.02 sec | status = SUCCESS
Simulation 91 | MIMOSA2 elapsed = 16.21 sec | status = SUCCESS
Simulation 85 | MIMOSA2 elapsed = 16.45 sec | status = SUCCESS
Simulation 103 | MIMOSA2 elapsed = 8.41 sec | status = SUCCESS
Simulation 100 | MIMOSA2 elapsed = 17.44 sec | status = SUCCESS
Simulation 104 | MIMOSA2 elapsed = 9.95 sec | status = SUCCESS
Simulation 109 | MIMOSA2 elapsed = 11.9 sec | status = SUCCESS
Simulation 113 | MIMOSA2 elapsed = 10.78 sec | status = SUCCESS
Simulation 110 | MIMOSA2 elapsed = 12.47 sec | status = SUCCESS
Simulation 101 | MIMOSA2 elapsed = 16.37 sec | status = SUCCESS
Simulation 108 | MIMOSA2 elapsed = 14.46 sec | status = SUCCESS
Simulation 106 | MIMOSA2 elapsed = 15.48 sec | status = SUCCESS
Simulation 102 | MIMOSA2 elapsed = 17.29 sec | status = SUCCESS
Simulation 105 | MIMOSA2 elapsed = 16.76 sec | status = SUCCESS
Simulation 107 | MIMOSA2 elapsed = 16.2 sec | status = SUCCESS
Simulation 111 | MIMOSA2 elapsed = 16.64 sec | status = SUCCESS
Simulation 114 | MIMOSA2 elapsed = 16.14 sec | status = SUCCESS
Simulation 112 | MIMOSA2 elapsed = 17.68 sec | status = SUCCESS
Simulation 118 | MIMOSA2 elapsed = 14.16 sec | status = SUCCESS
Simulation 120 | MIMOSA2 elapsed = 13.74 sec | status = SUCCESS
Simulation 115 | MIMOSA2 elapsed = 16.32 sec | status = SUCCESS
Simulation 116 | MIMOSA2 elapsed = 16.83 sec | status = SUCCESS
Simulation 117 | MIMOSA2 elapsed = 16.83 sec | status = SUCCESS
Simulation 119 | MIMOSA2 elapsed = 16.68 sec | status = SUCCESS
Simulation 122 | MIMOSA2 elapsed = 15.57 sec | status = SUCCESS
Simulation 121 | MIMOSA2 elapsed = 16.78 sec | status = SUCCESS
Simulation 124 | MIMOSA2 elapsed = 11.65 sec | status = SUCCESS
Simulation 126 | MIMOSA2 elapsed = 11.13 sec | status = SUCCESS
Simulation 123 | MIMOSA2 elapsed = 17.8 sec | status = SUCCESS
Simulation 129 | MIMOSA2 elapsed = 15.52 sec | status = SUCCESS
Simulation 127 | MIMOSA2 elapsed = 16.89 sec | status = SUCCESS
Simulation 128 | MIMOSA2 elapsed = 16.87 sec | status = SUCCESS
Simulation 125 | MIMOSA2 elapsed = 18.07 sec | status = SUCCESS
Simulation 130 | MIMOSA2 elapsed = 16.61 sec | status = SUCCESS
Simulation 131 | MIMOSA2 elapsed = 17.46 sec | status = SUCCESS
