Res_prop	P	Cell_range	Effect	Method	PANEL	COORD	group	AUROC
Prop_0.10	10	High	6.25e-05	DiD Baseline	1	1	-1	0.912395833333333
Prop_0.10	10	High	6.25e-05	MIMOSA2	1	1	-1	0.912777777777777
Prop_0.10	10	High	0.000125	DiD Baseline	1	1	-1	0.921041666666667
Prop_0.10	10	High	0.000125	MIMOSA2	1	1	-1	0.941979166666666
Prop_0.10	10	High	0.00025	DiD Baseline	1	1	-1	0.940347222222222
Prop_0.10	10	High	0.00025	MIMOSA2	1	1	-1	0.963402777777776
Prop_0.10	10	High	5e-04	DiD Baseline	1	1	-1	0.945659722222222
Prop_0.10	10	High	5e-04	MIMOSA2	1	1	-1	0.971215277777777
Prop_0.10	10	High	0.001	DiD Baseline	1	1	-1	0.947916666666667
Prop_0.10	10	High	0.001	MIMOSA2	1	1	-1	0.979826388888888
Prop_0.10	10	Medium	6.25e-05	DiD Baseline	1	1	-1	0.846944444444444
Prop_0.10	10	Medium	6.25e-05	MIMOSA2	1	1	-1	0.896145833333331
Prop_0.10	10	Medium	0.000125	DiD Baseline	1	1	-1	0.896388888888889
Prop_0.10	10	Medium	0.000125	MIMOSA2	1	1	-1	0.90034722222222
Prop_0.10	10	Medium	0.00025	DiD Baseline	1	1	-1	0.892395833333333
Prop_0.10	10	Medium	0.00025	MIMOSA2	1	1	-1	0.945347222222222
Prop_0.10	10	Medium	5e-04	DiD Baseline	1	1	-1	0.944027777777778
Prop_0.10	10	Medium	5e-04	MIMOSA2	1	1	-1	0.972361111111111
Prop_0.10	10	Medium	0.001	DiD Baseline	1	1	-1	0.958923611111111
Prop_0.10	10	Medium	0.001	MIMOSA2	1	1	-1	0.968472222222221
Prop_0.10	10	Low	6.25e-05	DiD Baseline	1	1	-1	0.676840277777778
Prop_0.10	10	Low	6.25e-05	MIMOSA2	1	1	-1	0.730138888888888
Prop_0.10	10	Low	0.000125	DiD Baseline	1	1	-1	0.769513888888889
Prop_0.10	10	Low	0.000125	MIMOSA2	1	1	-1	0.743576388888887
Prop_0.10	10	Low	0.00025	DiD Baseline	1	1	-1	0.799308858501784
Prop_0.10	10	Low	0.00025	MIMOSA2	1	1	-1	0.79039090368609
Prop_0.10	10	Low	5e-04	DiD Baseline	1	1	-1	0.897430555555556
Prop_0.10	10	Low	5e-04	MIMOSA2	1	1	-1	0.87892361111111
Prop_0.10	10	Low	0.001	DiD Baseline	1	1	-1	0.955659722222222
Prop_0.10	10	Low	0.001	MIMOSA2	1	1	-1	0.947256944444443
Prop_0.10	20	High	6.25e-05	DiD Baseline	1	1	-1	0.864175347222222
Prop_0.10	20	High	6.25e-05	MIMOSA2	1	1	-1	0.881814236111113
Prop_0.10	20	High	0.000125	DiD Baseline	1	1	-1	0.864114583333333
Prop_0.10	20	High	0.000125	MIMOSA2	1	1	-1	0.909600694444445
Prop_0.10	20	High	0.00025	DiD Baseline	1	1	-1	0.849722222222222
Prop_0.10	20	High	0.00025	MIMOSA2	1	1	-1	0.887560763888891
Prop_0.10	20	High	5e-04	DiD Baseline	1	1	-1	0.924045138888888
Prop_0.10	20	High	5e-04	MIMOSA2	1	1	-1	0.948689236111109
Prop_0.10	20	High	0.001	DiD Baseline	1	1	-1	0.908541666666667
Prop_0.10	20	High	0.001	MIMOSA2	1	1	-1	0.954010416666665
Prop_0.10	20	Medium	6.25e-05	DiD Baseline	1	1	-1	0.820564236111111
Prop_0.10	20	Medium	6.25e-05	MIMOSA2	1	1	-1	0.819809027777779
Prop_0.10	20	Medium	0.000125	DiD Baseline	1	1	-1	0.836796875
Prop_0.10	20	Medium	0.000125	MIMOSA2	1	1	-1	0.873255208333334
Prop_0.10	20	Medium	0.00025	DiD Baseline	1	1	-1	0.841710069444444
Prop_0.10	20	Medium	0.00025	MIMOSA2	1	1	-1	0.891796875000001
Prop_0.10	20	Medium	5e-04	DiD Baseline	1	1	-1	0.837387152777778
Prop_0.10	20	Medium	5e-04	MIMOSA2	1	1	-1	0.917960069444444
Prop_0.10	20	Medium	0.001	DiD Baseline	1	1	-1	0.934600694444445
Prop_0.10	20	Medium	0.001	MIMOSA2	1	1	-1	0.952152777777777
Prop_0.10	20	Low	6.25e-05	DiD Baseline	1	1	-1	0.780590277777778
Prop_0.10	20	Low	6.25e-05	MIMOSA2	1	1	-1	0.74916666666667
Prop_0.10	20	Low	0.000125	DiD Baseline	1	1	-1	0.791814236111111
Prop_0.10	20	Low	0.000125	MIMOSA2	1	1	-1	0.793229166666668
Prop_0.10	20	Low	0.00025	DiD Baseline	1	1	-1	0.773203125
Prop_0.10	20	Low	0.00025	MIMOSA2	1	1	-1	0.778949652777777
Prop_0.10	20	Low	5e-04	DiD Baseline	1	1	-1	0.792725694444445
Prop_0.10	20	Low	5e-04	MIMOSA2	1	1	-1	0.826362847222223
Prop_0.10	20	Low	0.001	DiD Baseline	1	1	-1	0.857803819444445
Prop_0.10	20	Low	0.001	MIMOSA2	1	1	-1	0.857647569444447
Prop_0.10	30	High	6.25e-05	DiD Baseline	1	1	-1	0.843587962962963
Prop_0.10	30	High	6.25e-05	MIMOSA2	1	1	-1	0.867723765432098
Prop_0.10	30	High	0.000125	DiD Baseline	1	1	-1	0.862156635802469
Prop_0.10	30	High	0.000125	MIMOSA2	1	1	-1	0.915806327160493
Prop_0.10	30	High	0.00025	DiD Baseline	1	1	-1	0.910486111111111
Prop_0.10	30	High	0.00025	MIMOSA2	1	1	-1	0.94016975308642
Prop_0.10	30	High	5e-04	DiD Baseline	1	1	-1	0.901554783950618
Prop_0.10	30	High	5e-04	MIMOSA2	1	1	-1	0.951203703703704
Prop_0.10	30	High	0.001	DiD Baseline	1	1	-1	0.925354938271605
Prop_0.10	30	High	0.001	MIMOSA2	1	1	-1	0.965979938271603
Prop_0.10	30	Medium	6.25e-05	DiD Baseline	1	1	-1	0.84903549382716
Prop_0.10	30	Medium	6.25e-05	MIMOSA2	1	1	-1	0.878036265432099
Prop_0.10	30	Medium	0.000125	DiD Baseline	1	1	-1	0.81795524691358
Prop_0.10	30	Medium	0.000125	MIMOSA2	1	1	-1	0.870007716049382
Prop_0.10	30	Medium	0.00025	DiD Baseline	1	1	-1	0.875489969135802
Prop_0.10	30	Medium	0.00025	MIMOSA2	1	1	-1	0.879270833333333
Prop_0.10	30	Medium	5e-04	DiD Baseline	1	1	-1	0.893310185185185
Prop_0.10	30	Medium	5e-04	MIMOSA2	1	1	-1	0.932912808641974
Prop_0.10	30	Medium	0.001	DiD Baseline	1	1	-1	0.923186728395062
Prop_0.10	30	Medium	0.001	MIMOSA2	1	1	-1	0.968233024691356
Prop_0.10	30	Low	6.25e-05	DiD Baseline	1	1	-1	0.798499228395062
Prop_0.10	30	Low	6.25e-05	MIMOSA2	1	1	-1	0.804201388888888
Prop_0.10	30	Low	0.000125	DiD Baseline	1	1	-1	0.766763117283951
Prop_0.10	30	Low	0.000125	MIMOSA2	1	1	-1	0.778838734567897
Prop_0.10	30	Low	0.00025	DiD Baseline	1	1	-1	0.776493055555555
Prop_0.10	30	Low	0.00025	MIMOSA2	1	1	-1	0.792052469135802
Prop_0.10	30	Low	5e-04	DiD Baseline	1	1	-1	0.818414351851852
Prop_0.10	30	Low	5e-04	MIMOSA2	1	1	-1	0.849486882716045
Prop_0.10	30	Low	0.001	DiD Baseline	1	1	-1	0.857781635802469
Prop_0.10	30	Low	0.001	MIMOSA2	1	1	-1	0.889857253086416
Prop_0.10	50	High	6.25e-05	DiD Baseline	1	1	-1	0.882373737373738
Prop_0.10	50	High	6.25e-05	MIMOSA2	1	1	-1	0.918299663299665
Prop_0.10	50	High	0.000125	DiD Baseline	1	1	-1	0.873874158249158
Prop_0.10	50	High	0.000125	MIMOSA2	1	1	-1	0.913714225589226
Prop_0.10	50	High	0.00025	DiD Baseline	1	1	-1	0.899459175084175
Prop_0.10	50	High	0.00025	MIMOSA2	1	1	-1	0.942916666666665
Prop_0.10	50	High	5e-04	DiD Baseline	1	1	-1	0.899903198653198
Prop_0.10	50	High	5e-04	MIMOSA2	1	1	-1	0.949528619528617
Prop_0.10	50	High	0.001	DiD Baseline	1	1	-1	0.931165824915826
Prop_0.10	50	High	0.001	MIMOSA2	1	1	-1	0.967891414141411
Prop_0.10	50	Medium	6.25e-05	DiD Baseline	1	1	-1	0.878872053872054
Prop_0.10	50	Medium	6.25e-05	MIMOSA2	1	1	-1	0.889393939393938
Prop_0.10	50	Medium	0.000125	DiD Baseline	1	1	-1	0.839981060606061
