Distribution	P	Cell_range	Effect	Method	PANEL	COORD	group	AUROC
BB	50	High	6.25e-05	DiD Baseline	1	1	-1	0.890600961538462
BB	50	High	6.25e-05	MIMOSA2	1	1	-1	0.901121794871795
BB	50	High	0.000125	DiD Baseline	1	1	-1	0.904511217948718
BB	50	High	0.000125	MIMOSA2	1	1	-1	0.933910256410256
BB	50	High	0.00025	DiD Baseline	1	1	-1	0.89176282051282
BB	50	High	0.00025	MIMOSA2	1	1	-1	0.930641025641026
BB	50	High	0.001	DiD Baseline	1	1	-1	0.931578525641026
BB	50	High	0.001	MIMOSA2	1	1	-1	0.963253205128205
BB	50	Medium	6.25e-05	DiD Baseline	1	1	-1	0.812788461538462
BB	50	Medium	6.25e-05	MIMOSA2	1	1	-1	0.848028846153847
BB	50	Medium	0.000125	DiD Baseline	1	1	-1	0.822155448717949
BB	50	Medium	0.000125	MIMOSA2	1	1	-1	0.864887820512821
BB	50	Medium	0.00025	DiD Baseline	1	1	-1	0.855673076923077
BB	50	Medium	0.00025	MIMOSA2	1	1	-1	0.903012820512821
BB	50	Medium	0.001	DiD Baseline	1	1	-1	0.925008012820513
BB	50	Medium	0.001	MIMOSA2	1	1	-1	0.971979166666667
BB	50	Low	6.25e-05	DiD Baseline	1	1	-1	0.689038461538461
BB	50	Low	6.25e-05	MIMOSA2	1	1	-1	0.732291666666666
BB	50	Low	0.000125	DiD Baseline	1	1	-1	0.691081730769231
BB	50	Low	0.000125	MIMOSA2	1	1	-1	0.72639423076923
BB	50	Low	0.00025	DiD Baseline	1	1	-1	0.702059294871795
BB	50	Low	0.00025	MIMOSA2	1	1	-1	0.778758012820513
BB	50	Low	0.001	DiD Baseline	1	1	-1	0.84349358974359
BB	50	Low	0.001	MIMOSA2	1	1	-1	0.925152243589743
BB	50	Very Low	6.25e-05	DiD Baseline	1	1	-1	0.614975961538462
BB	50	Very Low	6.25e-05	MIMOSA2	1	1	-1	0.645208333333333
