Distribution_clean	Effect_clean	Cell_range	DiD Baseline	MIMOSA2
Beta	1.0e-03	High	0.932	0.971
Beta	1.0e-03	Medium	0.922	0.968
Beta	1.0e-03	Low	0.841	0.924
Beta	1.0e-03	Very Low	0.797	0.898
Beta	1.2e-04	High	0.866	0.901
Beta	1.2e-04	Medium	0.819	0.871
Beta	1.2e-04	Low	0.688	0.723
Beta	1.2e-04	Very Low	0.661	0.705
Beta	2.5e-04	High	0.877	0.913
Beta	2.5e-04	Medium	0.856	0.893
Beta	2.5e-04	Low	0.704	0.781
Beta	2.5e-04	Very Low	0.686	0.755
Beta	6.2e-05	High	0.875	0.892
Beta	6.2e-05	Medium	0.804	0.844
Beta	6.2e-05	Low	0.687	0.741
Beta	6.2e-05	Very Low	0.637	0.650
Simplex	1.0e-03	High	0.940	0.967
Simplex	1.0e-03	Medium	0.916	0.959
Simplex	1.0e-03	Low	0.840	0.926
Simplex	1.0e-03	Very Low	0.799	0.897
Simplex	1.2e-04	High	0.875	0.892
Simplex	1.2e-04	Medium	0.826	0.852
Simplex	1.2e-04	Low	0.675	0.717
Simplex	1.2e-04	Very Low	0.622	0.679
Simplex	2.5e-04	High	0.898	0.928
Simplex	2.5e-04	Medium	0.847	0.890
Simplex	2.5e-04	Low	0.724	0.796
Simplex	2.5e-04	Very Low	0.635	0.734
Simplex	6.2e-05	High	0.864	0.880
Simplex	6.2e-05	Medium	0.790	0.807
Simplex	6.2e-05	Low	0.682	0.688
Simplex	6.2e-05	Very Low	0.610	0.639
Bimodal Beta	1.0e-03	High	0.932	0.972
Bimodal Beta	1.0e-03	Medium	0.913	0.961
Bimodal Beta	1.0e-03	Low	0.835	0.927
Bimodal Beta	1.0e-03	Very Low	0.773	0.897
Bimodal Beta	1.2e-04	High	0.883	0.910
Bimodal Beta	1.2e-04	Medium	0.831	0.858
Bimodal Beta	1.2e-04	Low	0.700	0.753
Bimodal Beta	1.2e-04	Very Low	0.663	0.717
Bimodal Beta	2.5e-04	High	0.881	0.918
Bimodal Beta	2.5e-04	Medium	0.855	0.912
Bimodal Beta	2.5e-04	Low	0.739	0.806
Bimodal Beta	2.5e-04	Very Low	0.666	0.756
Bimodal Beta	6.2e-05	High	0.883	0.894
Bimodal Beta	6.2e-05	Medium	0.817	0.825
Bimodal Beta	6.2e-05	Low	0.669	0.697
Bimodal Beta	6.2e-05	Very Low	0.619	0.638
Exponential Gamma	1.0e-03	High	0.947	0.974
Exponential Gamma	1.0e-03	Medium	0.897	0.935
Exponential Gamma	1.0e-03	Low	0.828	0.899
Exponential Gamma	1.0e-03	Very Low	0.774	0.881
Exponential Gamma	1.2e-04	High	0.883	0.894
Exponential Gamma	1.2e-04	Medium	0.844	0.862
Exponential Gamma	1.2e-04	Low	0.699	0.744
Exponential Gamma	1.2e-04	Very Low	0.646	0.701
Exponential Gamma	2.5e-04	High	0.920	0.937
Exponential Gamma	2.5e-04	Medium	0.848	0.881
Exponential Gamma	2.5e-04	Low	0.743	0.800
Exponential Gamma	2.5e-04	Very Low	0.677	0.739
Exponential Gamma	6.2e-05	High	0.880	0.884
Exponential Gamma	6.2e-05	Medium	0.841	0.852
Exponential Gamma	6.2e-05	Low	0.677	0.706
Exponential Gamma	6.2e-05	Very Low	0.636	0.655
Logit Normal	1.0e-03	High	0.927	0.953
Logit Normal	1.0e-03	Medium	0.914	0.952
Logit Normal	1.0e-03	Low	0.835	0.903
Logit Normal	1.0e-03	Very Low	0.801	0.877
Logit Normal	1.2e-04	High	0.884	0.896
Logit Normal	1.2e-04	Medium	0.849	0.863
Logit Normal	1.2e-04	Low	0.704	0.752
Logit Normal	1.2e-04	Very Low	0.634	0.691
Logit Normal	2.5e-04	High	0.919	0.943
Logit Normal	2.5e-04	Medium	0.859	0.877
Logit Normal	2.5e-04	Low	0.738	0.807
Logit Normal	2.5e-04	Very Low	0.662	0.757
Logit Normal	6.2e-05	High	0.889	0.894
Logit Normal	6.2e-05	Medium	0.835	0.846
Logit Normal	6.2e-05	Low	0.671	0.708
Logit Normal	6.2e-05	Very Low	0.598	0.639
