Distribution_clean	Effect_clean	High	Medium	Low	Very Low
Beta	1.0e-03	0.971, 0.932	0.968, 0.922	0.924, 0.841	0.898, 0.797
Beta	1.2e-04	0.901, 0.866	0.871, 0.819	0.723, 0.688	0.705, 0.661
Beta	2.5e-04	0.913, 0.877	0.893, 0.856	0.781, 0.704	0.755, 0.686
Beta	6.2e-05	0.892, 0.875	0.844, 0.804	0.741, 0.687	0.650, 0.637
Simplex	1.0e-03	0.967, 0.940	0.959, 0.916	0.926, 0.840	0.897, 0.799
Simplex	1.2e-04	0.892, 0.875	0.852, 0.826	0.717, 0.675	0.679, 0.622
Simplex	2.5e-04	0.928, 0.898	0.890, 0.847	0.796, 0.724	0.734, 0.635
Simplex	6.2e-05	0.880, 0.864	0.807, 0.790	0.688, 0.682	0.639, 0.610
Bimodal Beta	1.0e-03	0.972, 0.932	0.961, 0.913	0.927, 0.835	0.897, 0.773
Bimodal Beta	1.2e-04	0.910, 0.883	0.858, 0.831	0.753, 0.700	0.717, 0.663
Bimodal Beta	2.5e-04	0.918, 0.881	0.912, 0.855	0.806, 0.739	0.756, 0.666
Bimodal Beta	6.2e-05	0.894, 0.883	0.825, 0.817	0.697, 0.669	0.638, 0.619
Exponential Gamma	1.0e-03	0.974, 0.947	0.935, 0.897	0.899, 0.828	0.881, 0.774
Exponential Gamma	1.2e-04	0.894, 0.883	0.862, 0.844	0.744, 0.699	0.701, 0.646
Exponential Gamma	2.5e-04	0.937, 0.920	0.881, 0.848	0.800, 0.743	0.739, 0.677
Exponential Gamma	6.2e-05	0.884, 0.880	0.852, 0.841	0.706, 0.677	0.655, 0.636
Logit Normal	1.0e-03	0.953, 0.927	0.952, 0.914	0.903, 0.835	0.877, 0.801
Logit Normal	1.2e-04	0.896, 0.884	0.863, 0.849	0.752, 0.704	0.691, 0.634
Logit Normal	2.5e-04	0.943, 0.919	0.877, 0.859	0.807, 0.738	0.757, 0.662
Logit Normal	6.2e-05	0.894, 0.889	0.846, 0.835	0.708, 0.671	0.639, 0.598
