Res_prop_clean	Effect_clean	High	Medium	Low
10% responders	1.0e-03	0.956, 0.920	0.947, 0.918	0.895, 0.871
50% responders	1.0e-03	0.950, 0.910	0.942, 0.899	0.899, 0.842
90% responders	1.0e-03	0.952, 0.916	0.940, 0.898	0.906, 0.853
10% responders	1.2e-04	0.916, 0.876	0.880, 0.848	0.781, 0.765
50% responders	1.2e-04	0.906, 0.875	0.877, 0.837	0.794, 0.772
90% responders	1.2e-04	0.900, 0.872	0.889, 0.861	0.781, 0.759
10% responders	2.5e-04	0.930, 0.895	0.908, 0.868	0.803, 0.782
50% responders	2.5e-04	0.928, 0.885	0.903, 0.871	0.821, 0.778
90% responders	2.5e-04	0.932, 0.893	0.901, 0.874	0.824, 0.778
10% responders	5.0e-04	0.952, 0.914	0.930, 0.883	0.841, 0.815
50% responders	5.0e-04	0.945, 0.899	0.927, 0.884	0.860, 0.805
90% responders	5.0e-04	0.941, 0.900	0.928, 0.890	0.867, 0.823
10% responders	6.2e-05	0.901, 0.874	0.865, 0.840	0.761, 0.745
50% responders	6.2e-05	0.898, 0.870	0.874, 0.847	0.772, 0.749
90% responders	6.2e-05	0.902, 0.876	0.870, 0.847	0.784, 0.759
