Res_prop_clean	Effect_clean	High	Medium	Low
10% responders	1.0e-03	8550, 8550	8550, 8550	8550, 8550
10% responders	1.2e-04	8550, 8550	8550, 8550	8550, 8550
10% responders	2.5e-04	8550, 8550	8550, 8550	8540, 8540
10% responders	5.0e-04	8550, 8550	8550, 8550	8550, 8550
10% responders	6.2e-05	8550, 8550	8550, 8550	8550, 8550
50% responders	1.0e-03	8550, 8550	8550, 8550	8550, 8550
50% responders	1.2e-04	8550, 8550	8550, 8550	8550, 8550
50% responders	2.5e-04	8550, 8550	8550, 8550	8550, 8550
50% responders	5.0e-04	8550, 8550	8550, 8550	8550, 8550
50% responders	6.2e-05	8550, 8550	8550, 8550	8550, 8550
90% responders	1.0e-03	8550, 8550	8550, 8550	8550, 8550
90% responders	1.2e-04	8550, 8550	8550, 8550	8550, 8550
90% responders	2.5e-04	8550, 8550	8550, 8550	8550, 8550
90% responders	5.0e-04	8550, 8550	8550, 8550	8550, 8550
90% responders	6.2e-05	8550, 8550	8550, 8550	8550, 8550
